context_question,verified_answer
"Where is Tirupati Balaji located and how to reach it?","Tirupati Balaji (Sri Venkateswara Swamy Temple) is located in the hill town of Tirumala near Tirupati in Chittoor district, Andhra Pradesh. The nearest airport is Renigunta (TIR) about 15 km away. The main railway hub is Tirupati Main (TPTY). From Tirupati, frequent APSRTC buses and private taxis operate up the hills via a scenic ghat road."
"What is the best time to visit Varanasi or Kashi?","The ideal time to visit Varanasi (Kashi) is during the winter months from October to March when the weather is pleasant for exploring ghats. Make sure to attend the grand evening Ganga Aarti at Dashashwamedh Ghat, visit the Kashi Vishwanath Temple, and take an early morning boat ride on the holy Ganges River."
"What are the Char Dham pilgrimage sites in India?","The major Char Dham circuit comprises four highly revered sites across four directions of India: Badrinath (North in Uttarakhand), Dwarka (West in Gujarat), Jagannath Puri (East in Odisha), and Rameswaram (South in Tamil Nadu). Visiting them is believed to help achieve Moksha."
"What is the Himalayan Chota Char Dham yatra?","The Chota Char Dham is a smaller, sacred pilgrimage circuit located entirely within the Garhwal region of Uttarakhand in the Himalayas. It consists of four holy sites: Yamunotri (origin of Yamuna), Gangotri (origin of Ganga), Kedarnath (Lord Shiva shrine), and Badrinath (Lord Vishnu shrine)."
"How can I register for the Amarnath Yatra pilgrimage?","Amarnath Yatra registration is managed officially by the Shri Amarnathji Shrine Board (SASB). Pilgrims must obtain a Compulsory Health Certificate (CHC) from an authorized state doctor before applying online or via designated bank branches (like PNB, J&K Bank) during the announced registration windows."
"What is special about the Golden Temple in Amritsar?","The Golden Temple, also known as Sri Harmandir Sahib, is the ultimate spiritual center of Sikhism located in Amritsar, Punjab. It features a stunning gold-foiled structure surrounded by the Amrit Sarovar (holy tank). It runs the world's largest free community kitchen (Langar), serving over 100,000 people daily regardless of caste or religion."
"Tell me about Vaishno Devi temple history and route.","The holy cave shrine of Mata Vaishno Devi is located in the Trikuta Mountains of Jammu & Kashmir. The pilgrimage base camp starts at Katra. From Katra, devotees undertake a 12-kilometer uphill trek to the Bhawan, which can be done on foot, by pony, electric auto, or via helicopter services to Sanjichhat."
"What are the details of Sabarimala temple in Kerala?","Sabarimala Sree Dharma Sastha Temple is a highly revered hill shrine dedicated to Lord Ayyappa, located amidst 18 hills of the Western Ghats within the Periyar Tiger Reserve in Kerala. The temple is primarily open during the Mandala Pooja and Makaravilakku festivals (November to January) and the first five days of every Malayalam month."
"How to reach the Sun Temple in Konark?","The historical Sun Temple is located in Konark, Odisha, approximately 35 km from the holy city of Puri and 65 km from the capital city, Bhubaneswar. The nearest airport is Biju Patnaik International Airport (BBI) in Bhubaneswar. You can easily hire regular local buses, tourist coaches, or private cabs from both Puri and Bhubaneswar."
"What is the history of Jagannath Puri temple?","The Jagannath Temple in Puri, Odisha, was built in the 12th century by King Anantavarman Chodaganga Deva of the Eastern Ganga dynasty. Dedicated to Lord Jagannath (a form of Lord Vishnu), Balabhadra, and Subhadra, it is universally famous for its annual Ratha Yatra (Chariot Festival) where the massive deities are pulled in grand chariots."
"Tell me about Meenakshi Temple in Madurai.","Meenakshi Amman Temple is a historic Dravidian architectural marvel located on the southern bank of the Vaigai River in Madurai, Tamil Nadu. Dedicated to Goddess Meenakshi (a form of Parvati) and Sundareswarar (Shiva), the complex houses 14 magnificent gopurams (gateway towers) covered in thousands of colorful stone figures."
"What is the significance of Rameshwaram Temple?","The Ramanathaswamy Temple in Rameshwaram, Tamil Nadu, holds immense significance as it houses one of the 12 sacred Jyotirlingas of Lord Shiva. According to the Ramayana, the Shiva Lingam here was consecrated by Lord Rama. The temple is globally renowned for possessing the longest temple corridor system in the world."
"What are the 12 Jyotirlingas in India?","The 12 sacred Jyotirlingas dedicated to Lord Shiva are: Somnath and Nageshwar (Gujarat), Mallikarjuna (Andhra Pradesh), Mahakaleshwar and Omkareshwar (Madhya Pradesh), Kedarnath (Uttarakhand), Bhimashankar, Trimbakeshwar, and Grishneshwar (Maharashtra), Kashi Vishwanath (Uttar Pradesh), Baidyanath (Jharkhand), and Ramanathaswamy (Tamil Nadu)."
"Can you tell me about Kedarnath Temple timings and access?","Kedarnath Temple is located in the Himalayas of Uttarakhand at an altitude of 3,584 meters. Due to heavy snowfall, it opens only from late April/early May to Bhai Dooj (November). Access requires a steep 16 km uphill trek from Gaurikund, which can be covered on foot, by mules, doli, or via helicopter bookings from Phata/Guptkashi."
"What is the importance of Haridwar and Rishikesh?","Haridwar and Rishikesh in Uttarakhand are twin holy towns where the Ganges river flows out of the Himalayas into the plains. Haridwar is famous for the Kumbh Mela and the Har Ki Pauri ghat. Rishikesh, located just 20 km upstream, is known as the 'Yoga Capital of the World' and is famous for its Laxman Jhula and spiritual ashrams."
